10	3	14
1	0.03	0.01
1	3	1	7	151	4	4	C
2	0	1	8	147	7	3	A
3	0	1	1	4	7	4	C
4	2	2	190	2	6	1	B
5	0	2	14	194	7	3	D
6	2	3	18	81	5	1	B
7	3	3	170	155	4	4	A
8	1	4	19	24	4	3	A
9	3	4	1600	158	7	4	B
10	0	5	14	138	4	2	B
11	2	5	10	57	3	3	B
12	2	5	21	73	7	4	B
13	3	6	20	136	3	4	A
14	0	6	16	196	5	2	B
15	1	7	180	129	6	1	B
16	3	8	170	130	6	4	D
17	1	8	200	14	4	2	D
18	3	8	16	91	2	1	D
19	2	9	20	111	4	4	C
20	2	10	6	84	7	1	D
21	3	10	16	10	3	4	A
22	3	10	20	179	7	1	A
23	2	11	15	39	2	1	C
24	0	11	5	47	2	3	A
25	0	11	13	142	3	3	C
26	1	11	6	176	7	2	D
27	1	12	4	163	7	2	D
28	1	13	7	6	6	1	A
29	0	13	1	121	6	3	C
30	2	13	3	84	5	4	B
31	0	14	5	137	7	3	D
32	0	14	7	171	3	2	A
33	0	14	9	73	6	1	B
34	3	15	20	103	2	1	D
35	3	16	9	172	6	3	A
36	1	16	9	22	2	3	A
37	1	17	13	74	3	4	D
38	2	17	20	77	3	4	A
39	1	17	20	186	2	4	B
40	0	17	19	177	3	2	D
41	1	17	4	78	6	1	B
42	2	17	10	3	4	1	D
43	3	17	10	37	4	1	D
44	3	18	2	182	5	4	B
45	1	19	12	44	3	1	C
46	3	19	20	2	7	1	B
47	2	19	18	77	7	4	C
48	2	20	1	116	7	3	C
49	1	20	2	77	7	4	A
50	3	20	13	169	2	4	C
51	0	20	13	182	5	4	D
52	1	20	15	174	4	3	C
53	0	21	14	52	2	4	A
54	0	21	20	28	2	4	B
55	1	21	20	70	6	4	B
56	3	22	15	86	5	1	A
57	1	23	9	110	3	4	D
58	3	23	11	2	5	1	A
59	0	24	5	146	4	4	C
60	1	25	12	169	2	4	A
61	2	26	9	91	5	2	A
62	0	27	14	63	4	2	C
63	0	28	16	97	6	3	A
64	2	28	7	27	5	3	D
65	2	29	5	36	5	2	B
66	2	30	18	109	2	3	A
67	2	31	19	64	3	2	B
68	2	31	18	45	4	3	C
69	1	31	12	29	7	1	C
70	1	31	19	57	5	1	C
71	0	31	1	183	5	3	A
72	0	31	3	173	3	2	D
73	2	31	21	12	6	4	D
74	2	31	19	36	6	1	C
75	3	32	2	188	7	1	A
-1
