200	3	14
1	0.03	0.01
1	0	1	1	3	5	3	D
2	3	2	21	3	4	3	D
3	0	3	21	2	7	2	C
4	0	4	15	6	2	4	A
5	1	5	7	3	6	2	B
6	0	5	4	7	4	3	D
7	1	5	21	6	6	1	D
8	0	5	18	3	7	4	B
9	3	5	18	3	3	3	B
10	1	5	7	4	7	1	C
11	2	5	16	7	4	1	B
12	3	6	10	7	5	4	A
13	0	7	5	4	4	2	C
14	2	8	3	2	4	4	A
15	2	9	5	8	4	2	C
16	1	10	19	2	2	2	B
17	0	11	1	3	4	4	B
18	2	12	16	6	4	4	D
19	2	13	6	5	3	4	B
20	3	14	1	5	5	2	A
21	0	14	6	2	5	4	C
22	0	15	1	5	5	3	B
23	0	15	8	8	5	2	A
24	2	16	9	3	7	2	D
25	3	17	7	6	4	1	C
26	3	18	20	3	7	3	C
27	1	19	20	7	6	1	A
28	0	20	14	6	4	3	C
29	0	21	12	2	2	1	A
30	1	21	2	3	7	2	A
31	3	21	8	8	5	3	C
32	2	22	17	8	7	4	A
33	1	22	13	8	4	1	A
34	0	22	9	5	6	2	B
35	0	23	11	8	4	3	A
36	1	23	7	8	7	1	A
37	0	24	3	3	7	2	A
38	1	25	3	6	4	3	B
39	0	25	20	6	2	1	A
40	0	25	19	2	4	2	A
41	0	26	15	4	5	3	B
42	1	26	18	2	2	4	B
43	2	26	15	4	3	1	A
44	1	27	12	4	3	1	A
45	2	28	11	8	4	4	B
46	1	28	1	7	3	2	D
47	2	29	5	3	5	4	D
48	3	30	9	5	3	1	B
49	1	30	2	4	3	2	C
50	2	31	21	2	3	3	C
-1
